12/30/2020 Display Warehouse Stocks of Material                                       1
---------------------------------------------------------------------------------------------------------------------------
| SLoc|Material  |Material Description          |Batch     |  Unrestr.|   Blocked|Qual.Insp.|   Total Value|   Total Value|
| MMGI|91321327  |LBF HE SH SMOOTH COLLECTN 400 |B680099045|   58,800 |        0 |        0 |     1,687.56 |         0.00 |
| MMGI|91402981  |LBF OS VOLCANO SH 400ML US PR |TW80016190|        0 |    1,000 |        0 |         0.00 |        52.54 |
| MMGI|91496461  |FILM Swfr Wet Cloth OWF XN Mu |CA80022786|        0 |    9,471 |        0 |         0.00 |       707.20 |
| MMGI|91635448  |SSL OLAY FO BW CACTUS 650mL 2 |TW80024093|        0 |      977 |        0 |         0.00 |        53.23 |
| MMGI|91674859  |Mat Only TS Bounce FRE Free 7 |0006246778|        0 |   31,439 |        0 |         0.00 |     4,955.73 |
| MMGI|91676350  |CA SWFR WJ RF HD 30ct US      |CC80061565|        0 |    9,000 |        0 |         0.00 |     3,296.34 |
| MMGI|91676381  |SHPR WRP IVORY J 621mL BW 4 C |B680038075|        0 |    3,200 |        0 |         0.00 |       597.70 |
| MMGI|91704235  |Aqupec 3.9% Slurry with TDA-3 |B680007195|        0 |  410.640 |        0 |         0.00 |     3,525.79 |
| MMGI|91704235  |Aqupec 3.9% Slurry with TDA-3 |B680019903|        0 |1,231.920 |        0 |         0.00 |    10,577.37 |
| MMGI|91704235  |Aqupec 3.9% Slurry with TDA-3 |B680091789|        0 |  821.280 |        0 |         0.00 |     7,051.58 |
| MMGI|91704235  |Aqupec 3.9% Slurry with TDA-3 |B680094568|        0 |1,642.560 |        0 |         0.00 |    14,103.16 |
| MMGI|91704235  |Aqupec 3.9% Slurry with TDA-3 |B680920671|        0 |      412 |        0 |         0.00 |     3,537.47 |
| MMGI|91743413  |FILM Swfr Wet Cloth Gain XN M |CA80020889|        0 |    5,983 |        0 |         0.00 |       437.36 |
| MMGI|91891701  |LBF 778ML AUSSIE KIDS SH WTRM |TW80919713|        0 |    1,000 |        0 |         0.00 |        29.06 |
| MMGI|91933776  |CA SWFR WetJet Pad 15ct 80322 |CC80018708|        0 |      392 |        0 |         0.00 |        77.19 |
| MMGI|91942368  |CO SwifferWetJet GENERIC 12 t |CA80030300|        0 |      600 |        0 |         0.00 |       250.87 |
| MMGI|91942368  |CO SwifferWetJet GENERIC 12 t |CA80030737|        0 |      270 |        0 |         0.00 |       112.89 |
| MMGI|91942368  |CO SwifferWetJet GENERIC 12 t |CA80037656|        0 |      600 |        0 |         0.00 |       250.87 |
| MMGI|91948563  |LBF HE CN VOL ARB COFFEE 400M |TW80921060|        0 |    1,000 |        0 |         0.00 |        30.99 |
| MMGI|91948802  |SLEEVE SWFR Wet Cl L&V 28ct X |CA80012626|        0 |   60,665 |        0 |         0.00 |     1,886.07 |
| MMGI|91953970  |CO Swiffer Wet GENERIC 12x12- |BI80024978|        0 |      235 |        0 |         0.00 |       170.40 |
| MMGI|91954694  |CO Swiffer WetJet GEN 8/10ct, |CA80029264|        0 |      100 |        0 |         0.00 |        49.64 |
| MMGI|91955104  |LBF OS WC BDYW BEARGLOVE 887M |TW80936786|        0 |    1,000 |        0 |         0.00 |        51.87 |
| MMGI|91971320  |Swiffer Duster UF3 Nanya 58 1 |B68003405W|        0 |      233 |        0 |         0.00 |        65.24 |
| MMGI|91973244  |LBF HE CN CLRFY WHT CHARCOAL  |TW80912311|        0 |    1,000 |        0 |         0.00 |        30.99 |
| MMGI|92063898  |Guar Hydroxypropyltrimonium C |B680011187|        0 |    2,700 |        0 |         0.00 |    29,214.00 |
